"","BT_est_rank","gBT2_est_rank"
"car1",19,19
"car2",13,13
"car3",38,38
"car4",12,12
"car5",35,35
"car6",43,43
"car7",6,6
"car8",7,4
"car9",25,26
"car10",39,39
"car11",21,20
"car12",4,9
"car13",5,2
"car14",27,27
"car15",18,18
"car16",36,36
"car17",22,22
"car18",14,14
"car19",2,3
"car20",11,10
"car21",32,31
"car22",42,42
"car23",41,41
"car24",40,40
"car25",23,24
"car26",34,34
"car27",24,23
"car28",29,28
"car29",15,15
"car30",33,32
"car31",20,21
"car32",17,17
"car33",1,1
"car34",8,8
"car35",31,33
"car36",26,25
"car37",37,37
"car38",10,11
"car39",30,30
"car40",9,5
"car41",16,16
"car42",28,29
"car43",3,7
